path,kind,title,size_bytes,counts,description,useful_for,generated_from,refresh_command
decomp-orchestrator/knowledge/sources/external_mirrors/data/ppc2cpp/mips_to_c_ppc2cpp_branch,external_mirror,ppc2cpp mips_to_c branch snapshot,,710 files,"Mirrored historical ppc2cpp branch of matt-kempster/mips_to_c.","Historical decompiler archaeology and old scratch comparison.",https://github.com/matt-kempster/mips_to_c/tree/ppc2cpp,
decomp-orchestrator/knowledge/sources/external_mirrors/data/ppc2cpp/source_commit.txt,metadata,ppc2cpp source commit,41,1 commit,"Upstream commit hash for the mirrored ppc2cpp branch snapshot.","Refresh provenance and reproducibility.",https://github.com/matt-kempster/mips_to_c/tree/ppc2cpp,
decomp-orchestrator/knowledge/sources/external_mirrors/data/ppc2cpp/indexes/source_files.csv,csv,ppc2cpp source file index,132110,710 file records,"Generated file-level index for the mirrored ppc2cpp branch snapshot.","Search/RAG ingestion of historical ppc2cpp source files.",decomp-orchestrator/knowledge/sources/external_mirrors/data/ppc2cpp/mips_to_c_ppc2cpp_branch,python3 decomp-orchestrator/knowledge/sources/external_mirrors/data/tools/build_external_indexes.py
.github/README.md,repo_doc,Project README,9129,,"Current project setup, build, tooling, objdiff, module abbreviations, fighter abbreviations, and baselib glossary.","Contributor setup, module naming, objdiff orientation, and repo topology.",,
.github/CONTRIBUTING.md,repo_doc,Melee coding style and PR guidance,4972,,"Coding style, naming rules, struct formatting, literal style, PR expectations, and AI-assistance guidelines.","Review cleanup, style checks, naming discipline, and avoiding globally visible AI guesses.",,
docs/getting_started.md,repo_doc,Getting Started guide,5318,,"Beginner decompilation workflow for decomp.me, m2ctx/context, and matching concepts.","Contributor onboarding, scratch setup, and explaining why real types are better than raw offset math.",,
docs/glossary.md,repo_doc,Project glossary,3229,,"Glossary of project abbreviations and naming conventions.","Local variable, field, callback, and subsystem naming.",,
docs/symbols.md,repo_doc,symbols.txt reference,2037,,"Format and attributes for config/GALE01/symbols.txt.","Understanding symbol type, scope, size, alignment, data annotations, and stripped/noexport metadata.",,
docs/splits.md,repo_doc,splits.txt reference,2720,,"Format and attributes for config/GALE01/splits.txt.","Understanding TU ownership, section ranges, alignment, order, common BSS, and skipped data.",,
config/GALE01/symbols.txt,metadata,GALE01 symbols,2744508,34623 lines,"Full symbol/address/type metadata for GALE01.","Function lookup, data ownership, symbol attributes, nearby labels, sizes, and address-backed naming.",,
config/GALE01/splits.txt,metadata,GALE01 splits,180743,5369 lines,"Source/TU split and section ownership map for GALE01.","Data ordering, section ranges, source-file ownership, and TU boundary decisions.",,
objdiff.json,metadata,Objdiff project config,1052788,,"Objdiff unit configuration generated by configure.py.","Unit names, source paths, target objects, base objects, scratch context, and verifier targeting.",,python configure.py
build/GALE01/report.json,metadata,GALE01 build progress report,3563983,,"Generated build/progress report for GALE01.","Current match, fuzzy, linked, and per-unit/function status.",build system,ninja build/GALE01/report.json
tools/decomp.py,tool,Local decomp.py m2c wrapper,7091,,"Repo-local wrapper for generating draft C from assembly using m2c and project context.","Starting source candidates for one function or unit before cleanup and objdiff verification.",,
tools/m2ctx/README.md,tool_doc,m2ctx context generator notes,276,,"Notes for generating mips_to_c/decomp.me context from the local repo.","Building context for m2c or decomp.me scratches.",,
tools/asm-differ/README.md,tool_doc,asm-differ notes,2130,,"Usage notes for the asm-differ assembly diff tool.","Textual asm diffing, symbol-aware diffs, and live rebuild workflows outside objdiff.",,
tools/table-typer/README.md,tool_doc,table-typer notes,1100,,"Tool notes for inferring typed function tables from asm data and extern declarations.","Recovering item state tables, item logic tables, and related typed function pointers.",,
decomp-permuter/README.md,tool_doc,Decomp permuter README,7927,,"Usage and constraints for the C source permuter.","Last-mile regalloc and source-shape exploration after a function is semantically close.",,
tools/permuter/import_func.sh,tool,Repo permuter import helper,1669,,"Helper for importing a function into decomp-permuter/nonmatchings.","Preparing one concrete function for permuter experiments.",,
permuter_settings.toml,tool_config,Local permuter settings,2321,,"Local permuter configuration for compiler, build, objdump, and include behavior.","Keeping permuter imports aligned with this checkout's MWCC/Wine/objdump setup.",,
decomp-orchestrator/knowledge/sources/past_prs/data/README.md,guide,Past PR corpus README,2459,,"Layout and refresh guide for the past-PR dump, PR JSON library, shared agent prompts, and utils.","Understanding the stable current dump and the searchable prs knowledge layer.",,
decomp-orchestrator/knowledge/sources/past_prs/data/current/manifest.json,json,Past PR dump manifest,,378 PRs,"Current dump manifest with query, generated date, layout, and counts.","Knowing what the current PR dump contains and how it was fetched.",GitHub gh PR dump,python decomp-orchestrator/knowledge/sources/past_prs/commands/fetch_recent_pr_dump.py --dump-root decomp-orchestrator/knowledge/sources/past_prs/data/current
decomp-orchestrator/knowledge/sources/past_prs/data/current/analysis/text_corpus.jsonl,jsonl,Past PR text corpus,1337383,1016 records,"Structured PR body, issue comment, inline review comment, and review summary records.","Searching PR text by target, author, tactic, review concern, or PR number.",decomp-orchestrator/knowledge/sources/past_prs/data/current,python decomp-orchestrator/knowledge/sources/past_prs/commands/fetch_recent_pr_dump.py --dump-root decomp-orchestrator/knowledge/sources/past_prs/data/current
decomp-orchestrator/knowledge/sources/past_prs/data/current/analysis/changed_files.jsonl,jsonl,Past PR changed files,492110,3696 records,"Per-PR changed-file summaries parsed from diffs.","Finding PRs that touched a target file, subsystem, or source path.",decomp-orchestrator/knowledge/sources/past_prs/data/current,python decomp-orchestrator/knowledge/sources/past_prs/commands/fetch_recent_pr_dump.py --dump-root decomp-orchestrator/knowledge/sources/past_prs/data/current
decomp-orchestrator/knowledge/sources/past_prs/data/current/analysis/diff_lines.jsonl,jsonl,Past PR diff lines,61925409,281367 records,"Structured added/deleted diff lines parsed from PR diffs.","Searching concrete code-shape changes, matching tactics, and recurring source edits.",decomp-orchestrator/knowledge/sources/past_prs/data/current,python decomp-orchestrator/knowledge/sources/past_prs/commands/fetch_recent_pr_dump.py --dump-root decomp-orchestrator/knowledge/sources/past_prs/data/current
decomp-orchestrator/knowledge/sources/past_prs/data/current/analysis/human_pr_text.md,markdown,Past PR human text,212720,4415 lines,"Human-authored PR bodies, issue comments, and review bodies.","Reading contributor rationale, tool notes, known blockers, and review context.",decomp-orchestrator/knowledge/sources/past_prs/data/current,python decomp-orchestrator/knowledge/sources/past_prs/commands/fetch_recent_pr_dump.py --dump-root decomp-orchestrator/knowledge/sources/past_prs/data/current
decomp-orchestrator/knowledge/sources/past_prs/data/current/analysis/review_comments.md,markdown,Past PR inline reviews,328725,10673 lines,"Inline review comments with paths and hunks.","Learning what reviewers approved, corrected, or rejected for prior decomp changes.",decomp-orchestrator/knowledge/sources/past_prs/data/current,python decomp-orchestrator/knowledge/sources/past_prs/commands/fetch_recent_pr_dump.py --dump-root decomp-orchestrator/knowledge/sources/past_prs/data/current
decomp-orchestrator/knowledge/sources/past_prs/data/prs/index.csv,csv,Past PR library index,480956,378 PR records,"Spreadsheet-friendly index of processed per-PR knowledge records.","Sorting and filtering PR postmortems by files, tactics, lessons, and agent status.",decomp-orchestrator/knowledge/sources/past_prs/data/current,python decomp-orchestrator/knowledge/sources/past_prs/commands/build_pr_postmortems.py --dump-root decomp-orchestrator/knowledge/sources/past_prs/data/current
decomp-orchestrator/knowledge/sources/past_prs/data/prs/index.jsonl,jsonl,Past PR library JSONL index,567013,378 PR records,"One JSON record per processed PR for search and RAG ingestion.","Scripted lookup of PR lessons, changed files, smart moves, risks, and follow-up cues.",decomp-orchestrator/knowledge/sources/past_prs/data/current,python decomp-orchestrator/knowledge/sources/past_prs/commands/build_pr_postmortems.py --dump-root decomp-orchestrator/knowledge/sources/past_prs/data/current
decomp-orchestrator/knowledge/sources/past_prs/data/prs/known_fixes.md,markdown,Past PR known fixes rollup,121750,3781 lines,"Compact human-readable rollup of repeated fixes and lessons from the PR library.","Fast scan before deeper PR inspection.",decomp-orchestrator/knowledge/sources/past_prs/data/prs,python decomp-orchestrator/knowledge/sources/past_prs/commands/build_pr_postmortems.py --dump-root decomp-orchestrator/knowledge/sources/past_prs/data/current
decomp-orchestrator/knowledge/sources/past_prs/data/prs/pr-*/postmortem.json,json_library,Past PR per-PR postmortem JSON,,378 records,"Structured per-PR knowledge records generated from PR vertical slices and shared agent standards.","Detailed PR-specific postmortems without duplicating agent input/output prompts in every PR folder.",decomp-orchestrator/knowledge/sources/past_prs/data/current,python decomp-orchestrator/knowledge/sources/past_prs/commands/build_pr_postmortems.py --dump-root decomp-orchestrator/knowledge/sources/past_prs/data/current
